ruleid,fgd,rulecode,rulel,rule
370,98,4,"Sasi Hasil Laut. Udang, Teripang, Lola",
371,99,1,"Peraturan secara lisan disampaikan oleh pemerintah kampung, toko, adat, toko Gereja Isinya: Tentang perlindungan laut, apabila sebelum sasi dibuka jaangan dulu menyelam, tidak boleh pakai potasium",
372,100,1," SASI UDANG: Disepakati bersama oleh Tokoh Adat, Agama, Aparat Kampung merupakan sasi musiman dibuka pada saat tertentu ( Hari Keagamaan)",
373,100,2,"SASI TERIPANG: Disepakati bersama oleh Tokoh Adat, Agama, Aparat Kampung merupakan sasi musiman dibuka pada saat tertentu ( Hari Keagamaan)",
374,100,3,"SASI LOBSTER: Disepakati bersama oleh Tokoh Adat, Agama, Aparat Kampung merupakan sasi musiman dibuka pada saat tertentu ( Hari Keagamaan)",
375,100,4,"SASI LOLA: Disepakati bersama oleh Tokoh Adat, Agama, Aparat Kampung merupakan sasi musiman dibuka pada saat tertentu ( Hari Keagamaan)",
376,100,5,ATURAN: Dibuat oleh Pemerintah Kabupaten Raja Ampat (Dinas Kelautan dan Perikanan mengenai ijin,
377,100,6,Bagan: Operasional bagan jenis dan ukuran ikan yang  boleh  di tangkap,
378,101,1,"Sasi Musiman; Sasi Teripang, Lola dan Lobster. Serta air didalam maupun diluar. ",
379,101,2,KKLD Misool TNC dan DKP. Raja Ampat ,
380,101,3,Sasi Gereja bagi hasil,
381,101,4,"Aturan Kampung Mendukung aturan KKLD, Misalnya Perda, atau Peraturan Ppi",
382,101,5,Aturan KKLD semua masyarakat sudah tau dan disosialisaikan ke masyarakat,
383,102,1,Sasi Gereja,
384,102,2,Kesepakatan Adat,
385,103,1,Kepala Kampung Salafen: Aturan tentang penggunaan jaring yaitu buang jaring harus dilakukan di wilayah dermaga yaitu bagian luar kampung. Aturan ini telah berlaku dari dulu sampai saat ini. Seringkali timbul iri hati karena hasil tangkapan menggunakan jaring lebih banyak.,
386,103,2,"Aturan adat Matbat: terdapat 3 marga yang selalu bagi wilayah yaitu Marga Dai, Marga Ones dan Marga Lau. ",
387,104,1,Kepala Kampung Solal: Batas Wilayah Kampung,
388,104,2,"SASI UDANG: paling cepat 6 bulan sekali Sasi dibuka, hasil laut dibawa ke gereja dan didoakan. Sasi dibuka saat meti/musiman. Aturan sasi telah dipatuhi oleh masyarakat lokal, namun nelayan dari luar sering melanggar, sehingga aturan sasi semakin redup",
389,104,3,"SASI TERIPANG: paling cepat 6 bulan sekali Sasi dibuka, hasil laut dibawa ke gereja dan didoakan. Sasi dibuka saat meti/musiman. Aturan sasi telah dipatuhi oleh masyarakat lokal, namun nelayan dari luar sering melanggar, sehingga aturan sasi semakin redup",
390,104,4,"SASI BIA LOLA: paling cepat 6 bulan sekali Sasi dibuka, hasil laut dibawa ke gereja dan didoakan. Sasi dibuka saat meti/musiman. Aturan sasi telah dipatuhi oleh masyarakat lokal, namun nelayan dari luar sering melanggar, sehingga aturan sasi semakin redup",
391,105,1,"Tokoh Adat, Tokoh Agama dan Pemerintah Kampung: SASI LOLA dan TERIPANG:",
392,105,2,Perda Pemda Raja Ampat:Larangan Penangkapan Hiu sejak Tahun 2011.,
393,106,1,"Peraturan Daerah (Tertulis : Pembagian Zona, Larangan penggunaan BOM dan Potasium",
394,106,2,Peraturan Kampung (Tidak Tertulis) : Sasi 2 Minggu dan 1 Tahun,
395,107,1,Peraturan Pemuda : Dilarang Menggunakan Bom,
396,107,2,Sasi : Aturan Adat,
397,107,3,998,
398,107,4,998,
399,107,5,998,
400,108,1,Peraturan Daerah : Tidak Boleh memasuki wilayah konservasi,
401,108,2,Sasi ( Adat dari Kampung) : Pembukaan Sasi 2 Tahun Sasi sekali yaitu seminggu,
402,108,3,Pemberian Sanksi pelanggaran zona (Lisan),
